Age,Income,Recency,TotalSpending,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,TotalChildren
38,51650.0,81,191,4,1,4,5,1
26,16248.0,77,57,2,1,3,6,1
68,66835.0,21,1033,6,4,13,2,0
30,30477.0,16,66,1,1,3,6,1
53,28249.0,80,43,2,0,3,6,0
31,25271.0,45,50,1,1,2,9,1
44,32303.0,63,39,1,0,4,5,1
48,61286.0,34,608,7,1,8,5,1
38,74068.0,14,1581,4,10,9,2,0
50,45759.0,13,68,2,0,3,7,2
36,24882.0,52,80,1,1,2,6,1
25,66973.0,98,1282,8,7,12,3,0
26,38872.0,93,91,3,0,3,8,1
41,51148.0,38,315,5,1,6,6,2
37,31353.0,24,31,1,1,2,8,2
34,69661.0,80,834,7,3,12,3,0
60,80067.0,82,1600,4,6,6,2,0
60,86718.0,20,1270,5,6,5,2,0
41,46854.0,81,263,5,1,3,8,2
62,69142.0,50,535,8,1,7,5,1
46,75922.0,60,1295,4,4,9,1,0
36,63693.0,63,1150,11,6,9,6,1
37,102160.0,54,1240,7,9,10,4,0
49,40637.0,72,38,1,0,3,7,2
30,18890.0,5,35,0,1,2,6,0
26,29604.0,88,53,1,0,3,9,1
51,48721.0,50,293,4,2,5,6,2
48,44794.0,99,65,2,0,3,6,1
60,64497.0,17,1804,11,4,9,8,1
58,46097.0,11,241,3,1,6,4,1
60,77972.0,18,1101,4,6,9,1,0
46,44377.0,70,264,5,1,5,8,2
40,46014.0,21,541,7,1,8,7,2
29,70951.0,66,1198,3,4,9,1,0
37,41443.0,79,482,8,1,5,8,1
36,52195.0,2,17,1,0,2,8,3
66,83790.0,81,1615,8,10,6,3,0
60,44551.0,24,285,4,1,5,7,1
34,69508.0,48,1135,11,4,11,6,1
26,45204.0,93,114,1,1,4,3,1
45,72460.0,56,1047,3,5,7,1,0
44,77622.0,3,714,6,3,11,3,2
34,30732.0,44,185,4,1,4,8,1
52,63887.0,38,1245,9,6,12,6,1
36,42011.0,46,189,3,1,4,8,1
38,51369.0,84,576,8,2,4,8,1
62,51537.0,27,1103,2,2,11,8,1
42,79930.0,72,1753,3,5,8,2,0
28,34320.0,66,17,1,0,2,8,1
48,37070.0,30,433,5,1,8,7,2
52,81975.0,2,1588,6,3,4,7,1
43,38590.0,65,22,1,0,2,8,1
63,15033.0,37,19,1,0,3,3,0
49,62745.0,89,1117,7,8,11,5,1
39,22212.0,49,69,2,0,4,6,1
32,23661.0,46,23,1,0,3,7,1
56,79761.0,32,605,5,2,11,3,1
41,7500.0,54,57,3,1,3,7,1
46,73455.0,98,2088,6,5,10,3,0
56,64961.0,97,1009,6,4,4,3,1
43,22804.0,75,26,2,0,2,9,1
24,73687.0,8,1627,3,9,9,2,0
56,61074.0,37,1102,11,5,8,7,1
50,31686.0,31,17,1,0,3,6,2
42,80134.0,40,1690,5,3,6,6,1
61,75027.0,74,1390,9,4,6,5,1
26,67546.0,90,2126,4,10,5,3,0
45,65176.0,57,1531,9,6,6,6,1
39,31160.0,59,64,2,0,3,8,1
29,29938.0,52,26,1,0,3,6,1
40,102692.0,5,1112,6,9,13,2,0
56,26490.0,92,210,3,1,5,6,0
47,75702.0,77,1148,4,6,11,8,2
40,30899.0,35,33,1,0,3,6,1
53,63342.0,48,1101,8,3,5,6,1
50,45989.0,97,322,3,2,7,3,1
50,18701.0,95,44,2,0,4,5,2
57,40737.0,24,17,1,0,2,8,3
35,15287.0,60,31,1,1,2,7,1
46,69674.0,46,845,10,2,10,5,2
44,44159.0,85,275,4,1,6,5,1
36,37717.0,31,25,1,0,2,9,1
62,43776.0,9,275,5,2,4,8,2
48,38179.0,30,90,3,1,3,7,2
51,80124.0,47,1495,3,7,8,1,0
44,38097.0,70,184,3,2,2,7,2
44,72940.0,13,981,3,3,6,1,0
44,22070.0,11,67,2,2,2,6,1
61,69267.0,31,1635,3,4,5,7,0
31,31788.0,15,60,3,0,4,5,1
39,61905.0,2,231,4,2,4,5,1
54,29315.0,55,48,2,0,4,6,2
51,33378.0,38,99,2,0,4,7,2
51,66313.0,86,770,6,3,12,4,1
58,60714.0,56,957,7,4,10,5,0
33,77882.0,29,818,3,3,5,1,0
28,69867.0,30,925,3,5,8,1,0
46,63841.0,64,908,9,3,9,6,1
33,24480.0,46,102,3,0,4,7,1
38,51369.0,84,576,8,2,4,8,1
68,37760.0,20,317,4,1,6,7,0
40,65640.0,74,461,5,1,8,2,1
39,44319.0,18,37,2,0,3,5,2
40,30631.0,75,70,3,1,2,7,1
62,75278.0,17,930,6,3,13,3,0
58,50898.0,88,859,6,2,12,5,2
48,79946.0,19,1478,5,11,5,3,0
65,35416.0,62,390,7,1,5,8,0
30,32414.0,11,52,1,0,3,7,0
45,38361.0,74,137,3,1,3,7,1
34,82497.0,32,1919,2,7,9,4,0
43,16626.0,76,68,3,0,3,9,2
49,29672.0,6,25,0,0,3,6,2
62,55951.0,62,1374,3,6,11,8,1
26,35388.0,20,32,1,0,3,7,1
28,42386.0,43,100,3,0,3,8,1
32,68627.0,45,825,2,3,6,1,0
49,57912.0,34,916,8,3,12,5,1
56,35246.0,53,62,3,1,3,5,2
58,58821.0,44,728,9,2,9,6,1
36,46377.0,89,90,2,1,3,4,1
26,39747.0,43,273,5,1,4,8,1
30,23976.0,68,66,3,1,3,7,1
53,80950.0,44,1213,6,7,9,2,0
48,27038.0,64,107,3,0,3,9,0
67,77457.0,85,1157,2,5,10,1,0
50,64100.0,93,546,8,3,6,7,1
22,42670.0,12,241,4,2,4,4,0
38,12571.0,86,53,3,1,3,6,1
47,22574.0,28,37,2,0,3,7,3
25,51371.0,69,1611,6,5,12,3,0
38,70893.0,42,1508,6,6,10,3,0
48,54198.0,13,235,3,1,6,4,2
58,28839.0,86,32,2,0,3,5,2
42,40321.0,59,102,3,0,3,7,2
29,66503.0,30,401,4,3,6,3,1
63,30833.0,33,28,1,0,3,5,2
44,51371.0,67,1052,2,3,10,7,3
43,64795.0,23,680,3,3,12,2,1
40,34421.0,81,30,1,0,2,7,1
49,47025.0,6,20,1,0,2,7,2
53,64325.0,41,1307,10,3,5,7,1
61,40464.0,78,630,8,2,8,8,1
57,62187.0,49,1283,4,8,5,3,0
38,14849.0,39,65,2,0,4,8,1
30,27255.0,3,37,1,0,3,7,1
64,54432.0,37,38,1,0,3,4,3
28,29999.0,22,160,3,1,4,8,1
31,24072.0,79,23,1,0,2,8,1
25,33996.0,46,71,1,1,3,4,0
58,66334.0,82,1161,9,3,5,5,1
43,35178.0,10,59,1,1,2,7,1
31,22010.0,51,33,2,0,3,8,1
54,62204.0,38,946,4,5,12,3,2
46,75693.0,10,1442,11,4,6,4,0
42,30675.0,14,62,1,0,3,8,1
49,83003.0,18,1674,7,6,8,3,0
26,68655.0,95,1538,4,5,11,3,0
28,41411.0,11,139,2,1,4,6,0
45,55212.0,65,1182,4,2,11,8,1
64,59292.0,71,507,3,5,8,3,1
41,27190.0,13,18,1,0,2,8,1
62,82623.0,58,940,2,9,4,1,0
49,44300.0,65,42,1,0,3,6,2
44,84835.0,0,1190,4,4,6,1,0
43,30372.0,33,44,2,0,3,7,2
38,33181.0,90,16,1,0,2,6,1
57,71113.0,95,835,6,7,9,4,1
28,71952.0,93,1443,8,4,8,4,1
48,69759.0,38,1029,4,6,5,3,0
40,72099.0,18,1188,3,4,10,1,0
38,60000.0,57,1277,11,3,5,6,1
36,38643.0,45,49,2,0,3,7,2
59,50737.0,61,99,2,0,4,6,1
45,68462.0,6,1670,3,3,8,1,0
71,65073.0,65,900,5,3,5,2,0
66,46681.0,52,425,4,6,4,5,2
57,78618.0,87,2153,4,7,10,2,0
45,62187.0,38,636,6,2,10,4,1
36,28442.0,53,57,2,1,4,4,2
36,37717.0,31,25,1,0,2,9,1
47,51479.0,67,494,6,3,6,7,2
45,54803.0,65,693,6,2,9,4,1
54,79530.0,64,1348,4,10,11,2,0
38,31615.0,82,51,2,0,3,7,1
52,72025.0,27,1932,4,3,8,3,0
39,52614.0,63,990,2,4,8,8,1
30,35684.0,66,30,1,0,3,6,1
39,48178.0,69,254,5,1,4,8,2
44,29548.0,52,29,1,1,2,4,1
48,63810.0,45,1371,4,3,12,8,1
42,38578.0,2,73,3,0,3,8,2
39,46098.0,86,120,3,2,2,8,2
44,22585.0,23,81,1,1,2,9,0
25,30279.0,13,37,1,0,3,8,1
53,66426.0,14,1377,3,5,10,6,1
45,30822.0,92,51,1,0,3,7,1
45,33581.0,38,17,1,0,2,8,2
29,19986.0,74,22,0,0,3,7,1
60,27421.0,14,324,4,1,6,7,0
41,35688.0,94,211,4,1,4,8,3
33,36143.0,33,19,0,1,2,3,1
43,10245.0,32,41,1,2,2,5,1
46,43795.0,11,492,7,3,4,7,1
54,63381.0,78,1005,4,5,13,2,1
65,38823.0,56,114,2,1,3,6,1
46,83664.0,57,1173,2,2,12,5,2
35,90300.0,7,1738,5,6,8,1,0
35,62499.0,0,222,3,1,6,4,1
21,74293.0,66,1127,5,4,6,2,0
68,51012.0,86,209,4,1,4,6,0
46,70777.0,80,787,5,3,12,3,1
23,68682.0,56,1598,4,9,10,2,0
43,43824.0,18,186,3,1,4,8,2
30,15345.0,51,47,1,1,2,8,1
27,23442.0,71,27,1,0,3,7,1
34,14515.0,71,96,2,2,3,7,1
58,31395.0,80,64,2,1,3,6,2
49,75276.0,2,1040,9,4,9,5,0
40,42373.0,83,163,2,1,5,5,2
54,30507.0,29,343,5,1,4,7,0
59,55521.0,11,446,6,3,6,7,3
49,48006.0,55,41,1,0,3,6,2
42,27213.0,19,70,2,0,4,8,1
43,65808.0,1,272,5,1,5,6,2
40,30351.0,19,46,3,0,2,9,1
51,50437.0,28,490,7,1,8,7,2
32,23616.0,76,79,3,0,3,8,1
38,53858.0,50,915,4,3,6,4,1
59,66465.0,1,1485,11,9,12,6,1
27,46923.0,90,369,5,1,7,7,1
52,75072.0,83,1073,5,4,8,3,1
71,75865.0,73,1242,3,5,10,1,0
39,19789.0,24,78,2,1,3,5,1
20,80134.0,11,1378,2,7,11,5,0
33,91065.0,33,1474,7,9,9,3,0
43,49505.0,4,751,10,2,8,8,2
41,37401.0,14,48,2,0,3,7,1
31,30096.0,30,45,2,0,3,6,1
32,18492.0,75,10,1,0,2,8,1
40,82584.0,26,1435,3,4,8,1,0
73,93027.0,77,2119,7,10,5,2,0
61,48686.0,8,20,1,0,2,8,3
28,92910.0,42,1795,6,7,13,1,0
25,75433.0,28,1188,2,5,10,6,1
25,10404.0,52,43,1,0,4,5,1
46,61314.0,1,1008,5,5,12,3,1
53,84865.0,1,1688,2,4,9,4,0
25,42387.0,42,684,8,1,7,8,1
47,67309.0,76,1082,9,6,9,7,2
50,75236.0,27,1068,8,3,13,4,1
44,30015.0,28,57,1,0,4,5,1
58,50943.0,49,46,1,0,3,5,1
48,67272.0,12,733,6,2,12,5,1
65,51529.0,14,467,9,1,5,8,1
43,32011.0,89,122,2,1,4,7,1
28,7500.0,96,36,2,0,3,8,1
25,28691.0,56,34,1,0,3,8,1
66,56223.0,72,156,2,1,5,4,1
68,18100.0,14,14,0,0,3,5,0
25,30279.0,13,37,1,0,3,8,1
40,20130.0,99,34,1,0,3,8,0
55,23295.0,72,20,1,0,2,8,0
42,42618.0,92,192,5,0,4,8,1
50,81246.0,87,1379,4,5,7,1,0
38,24027.0,7,48,2,0,3,8,1
61,55707.0,91,428,3,2,9,3,1
59,57959.0,71,868,4,7,11,3,1
45,56796.0,24,1001,8,9,7,7,1
43,36230.0,17,59,2,0,4,5,1
34,70829.0,87,431,4,2,8,3,2
38,65991.0,21,971,9,5,10,7,1
42,38988.0,90,348,5,1,6,8,3
48,89572.0,44,2059,7,7,9,4,0
30,42207.0,71,265,4,1,5,6,1
62,50300.0,52,270,2,1,8,2,1
32,66664.0,78,1289,5,7,6,3,0
50,60597.0,2,893,2,2,8,7,1
65,70165.0,60,926,3,7,11,1,0
56,50520.0,25,135,3,1,3,6,1
51,80124.0,47,1495,3,7,8,1,0
39,33183.0,46,120,4,0,3,7,1
45,66582.0,83,1288,2,8,9,1,0
59,75261.0,17,1743,5,6,5,2,0
44,31880.0,13,15,1,0,2,8,1
63,53790.0,86,542,7,2,8,6,2
43,49269.0,92,890,7,3,12,7,1
39,61456.0,47,1388,6,10,13,4,1
34,37406.0,18,17,1,0,2,8,1
33,56937.0,81,906,8,6,9,6,1
36,38415.0,91,44,1,0,3,7,2
26,20518.0,58,25,1,1,2,5,1
58,62503.0,40,973,8,3,11,5,1
42,41644.0,67,31,1,0,3,3,2
37,55842.0,19,518,7,1,8,5,1
42,62010.0,93,530,6,2,7,5,1
37,41124.0,41,506,7,3,4,8,1
41,38961.0,60,70,2,1,2,7,1
42,37760.0,54,54,2,0,3,6,1
40,32233.0,26,296,6,2,2,9,1
39,43057.0,30,266,4,2,5,5,1
54,83151.0,93,747,5,9,4,3,0
50,78825.0,35,895,5,10,13,3,0
38,65104.0,4,1053,3,5,7,7,1
40,60093.0,92,735,7,2,10,6,1
45,14045.0,24,20,1,0,3,7,1
62,28457.0,96,205,4,1,4,8,0
56,78952.0,11,2092,2,5,12,6,1
38,46310.0,99,309,6,1,5,8,1
59,76005.0,72,1722,3,5,13,6,0
50,58308.0,77,900,2,6,3,8,1
70,55614.0,85,682,9,4,6,7,0
52,59432.0,88,663,5,3,11,5,1
36,55563.0,22,43,2,0,3,3,1
43,78642.0,83,1816,4,9,4,6,1
65,67911.0,63,976,6,7,11,3,1
70,65275.0,9,746,4,3,13,2,0
64,27203.0,92,64,1,1,2,8,2
53,48330.0,2,32,1,0,3,5,1
24,24279.0,6,263,4,1,3,8,0
29,64355.0,66,1445,4,3,12,8,1
58,50943.0,49,46,1,0,3,5,1
61,53653.0,29,1210,10,4,12,6,0
38,65665.0,77,945,5,10,8,3,1
25,81217.0,77,1157,3,7,11,1,0
22,34935.0,71,137,2,1,4,7,0
55,61250.0,49,730,5,2,12,5,1
33,39665.0,97,216,4,2,3,7,1
35,60152.0,6,943,6,4,12,3,1
50,48920.0,93,347,6,2,5,7,2
55,89120.0,78,1924,5,6,7,1,0
68,44124.0,62,397,6,2,5,8,1
39,81169.0,47,2089,5,7,9,2,0
53,36443.0,9,138,3,1,3,8,2
24,26095.0,77,42,1,0,3,7,1
55,71367.0,24,777,4,5,7,2,0
70,80184.0,19,1902,6,3,10,3,0
49,30630.0,67,52,2,0,3,7,2
27,73454.0,95,1651,2,4,6,5,0
23,42691.0,48,358,5,1,6,5,0
61,70503.0,73,1727,2,4,9,6,0
27,25545.0,35,210,2,2,3,6,1
28,32880.0,76,42,1,0,3,8,1
56,77863.0,20,1291,4,5,10,2,0
37,50353.0,72,442,4,4,6,3,0
50,61839.0,20,1895,4,8,4,8,0
54,49154.0,69,411,4,1,8,6,2
39,47682.0,80,521,4,3,8,5,1
45,72679.0,65,1168,4,7,5,1,1
37,57954.0,52,493,8,2,6,7,2
52,65316.0,65,260,3,2,5,4,2
32,28567.0,57,46,2,0,3,6,1
63,47352.0,70,319,6,1,5,7,1
47,44931.0,0,96,2,1,3,5,1
47,76982.0,19,1062,8,3,4,4,0
62,57247.0,50,232,2,1,7,2,1
33,22944.0,67,76,3,0,3,7,1
37,25315.0,46,54,3,0,3,8,1
45,43638.0,37,201,4,1,4,7,1
30,42710.0,38,406,4,5,3,6,1
32,84169.0,9,1919,7,6,6,3,0
38,54058.0,56,662,4,6,8,3,1
24,24683.0,98,41,2,0,4,5,1
50,85620.0,68,1600,3,6,4,1,0
34,47850.0,72,134,3,0,4,6,1
46,19514.0,47,69,3,1,2,8,2
41,27159.0,33,21,1,0,3,6,2
51,39548.0,87,54,1,1,3,3,2
25,21474.0,0,91,3,1,2,7,1
43,60504.0,73,526,6,2,8,6,1
51,22419.0,74,162,3,2,2,8,0
65,81698.0,4,1008,3,8,13,1,0
62,43462.0,50,240,4,1,5,8,2
36,54880.0,57,795,6,2,11,5,1
32,79908.0,30,1772,5,6,7,2,0
44,15315.0,27,64,2,0,4,5,0
55,87771.0,61,1957,5,10,4,6,1
36,33039.0,4,78,2,0,4,5,1
34,81741.0,75,1572,6,6,7,2,0
43,71499.0,12,795,8,3,13,4,1
44,62466.0,13,889,6,3,12,4,1
51,48799.0,9,331,3,2,7,3,1
64,52157.0,48,265,3,2,5,4,1
52,66565.0,80,1065,4,2,9,8,1
63,29298.0,60,11,1,0,2,5,2
35,47691.0,43,21,1,0,2,6,1
44,38200.0,19,17,1,0,2,7,2
40,44989.0,26,369,5,1,5,6,1
46,38443.0,58,38,1,0,3,7,2
36,38593.0,42,177,4,1,3,8,1
44,64413.0,27,279,5,1,5,5,1
33,36959.0,56,62,2,0,3,8,1
37,61996.0,27,1230,6,4,8,5,1
46,51287.0,10,182,4,1,3,7,2
44,13260.0,48,49,3,0,3,8,2
48,47472.0,39,75,2,0,4,5,2
58,54603.0,85,227,4,2,4,7,2
40,45207.0,64,215,3,1,6,6,2
63,40689.0,69,444,7,1,5,8,1
47,47821.0,54,47,1,0,3,8,2
63,27450.0,57,143,2,1,3,7,0
31,39453.0,64,55,2,0,3,6,1
43,26850.0,10,63,2,1,4,4,2
59,79800.0,65,1867,5,11,5,3,0
53,61794.0,74,611,4,4,10,2,1
59,53863.0,4,473,7,1,7,7,1
55,24221.0,94,55,1,1,3,4,0
30,39684.0,41,81,2,1,2,7,1
39,92163.0,25,2086,5,11,5,2,0
49,69882.0,94,1478,3,7,9,1,0
37,33178.0,9,49,1,0,3,4,1
42,59973.0,47,382,3,4,7,1,0
39,17459.0,12,69,3,1,2,7,1
45,23910.0,80,67,2,0,3,7,1
45,42169.0,20,30,1,0,3,8,2
36,26224.0,39,63,2,1,3,6,1
33,31089.0,57,79,3,0,4,8,1
53,30081.0,27,42,1,0,3,7,1
54,62807.0,83,819,5,3,12,5,1
59,72906.0,79,1151,3,4,9,1,0
66,61467.0,69,594,5,2,10,5,2
48,49618.0,77,129,3,1,3,7,2
28,21888.0,15,213,5,1,2,10,1
41,42429.0,99,67,1,1,3,5,1
58,26150.0,61,28,1,0,3,7,3
39,30801.0,23,45,1,0,3,7,1
49,81168.0,84,1193,6,4,7,3,0
45,26877.0,74,268,3,1,6,6,0
70,45006.0,90,266,3,1,7,3,0
41,18978.0,41,37,1,0,3,8,1
47,22574.0,28,37,2,0,3,7,3
45,48240.0,73,882,6,3,13,5,0
40,45837.0,88,373,6,2,5,7,2
49,35791.0,94,35,1,0,3,8,3
38,162397.0,31,107,0,0,1,1,2
36,54162.0,31,42,1,0,3,4,2
54,30522.0,6,326,1,2,9,2,1
53,54456.0,23,404,6,1,7,6,1
43,31632.0,92,95,2,1,2,7,0
65,72298.0,52,939,4,3,6,1,0
36,36975.0,50,33,1,0,3,7,1
59,72635.0,54,981,6,8,6,3,0
38,13624.0,93,36,2,0,3,6,1
39,84196.0,56,1237,8,4,7,3,1
54,70971.0,28,1825,11,11,5,7,1
37,34487.0,94,103,3,0,3,9,2
37,28769.0,76,191,4,1,4,9,1
44,69084.0,43,1586,7,3,13,8,1
56,65488.0,46,963,3,4,6,1,0
44,62466.0,13,889,6,3,12,4,1
54,32218.0,27,93,2,1,3,7,0
41,83917.0,12,1587,6,7,7,3,0
52,46102.0,3,16,1,0,2,7,3
62,84574.0,72,1375,9,11,11,5,0
52,56181.0,6,393,4,2,7,4,1
64,63120.0,53,1477,8,4,9,7,1
43,73691.0,58,1179,6,2,8,2,1
54,63381.0,78,1005,4,5,13,2,1
66,76140.0,57,1348,5,9,6,2,0
55,62859.0,37,1307,9,4,6,6,1
50,45906.0,20,486,5,4,4,5,1
67,77632.0,73,2252,4,2,6,2,0
43,46463.0,56,235,3,1,6,6,2
44,105471.0,36,1724,9,8,13,3,0
44,55282.0,9,235,3,1,6,4,1
37,78710.0,42,1092,7,6,12,4,1
56,66886.0,28,599,7,1,7,5,1
54,98777.0,23,2008,4,6,9,1,0
29,29103.0,38,48,1,0,3,9,1
40,67445.0,63,1174,9,6,12,6,1
64,50616.0,71,67,1,1,4,2,1
59,49431.0,9,365,7,1,5,8,1
